Debit, Credit and Balance are measured in rands.

Date (y-m-d):	What:	Credit:	Debit:	Balance:

2016-01-18	inh.	500		500
2016-01-18	food		500	0
2016-02-09	rachel	1000		1000
2016-02-09	food		1000	0
2016-06-11	inh.	1000		1000
2016-06-11	food		1000	0
2016-07-09	inh.	1000		1000
2016-07-09	food		1000	0
2016-07-11	inh.	1000		1000
2016-07-11	food		1000	0
2016-07-18	inh.	1000		1000
2016-07-18	food		1000	0
2016-08-01	inh.	1000		1000
2016-08-01	food		1000	0
2016-08-08	inh.	100 		100
2016-08-08	sd card		100	0
2016-08-12	inh.	100		100
2016-08-12	food		100	0
2016-08-13	inh.	150		150
2016-08-13	food		150	0
2016-08-27	inh.	1000		1000
2016-08-27	food		1000	0
2016-09-07	inh.	1000		1000
2016-09-07	food		1000	0
2016-09-26	inh.	1000		1000
2016-09-26	food		1000	0
2016-11-25	inh.	1000		1000
2016-11-25	food		1000	0
2016-12-02	inh.   	200		200
2016-12-02	food		200	0
2016-12-12	inh. 	1000		1000
2016-12-12	food		1000	0
2016-12-23 	inh.	1000		1000
2016-12-23 	food		1000	0
2016-12-30 	inh.	1000		1000
2016-12-30 	food		1000	0
2017-01-13 	inh.	1000		1000
2017-01-13 	food		1000	0
2017-01-29 	inh.	1000		1000
2017-01-29 	food		1000	0
2017-02-09 	inh.	5000		5000
2017-02-09 	food		5000	0
2017-03-24 	inh.	100		100
2017-03-24 	food		100	0
2017-03-26 	inh.	100		100
2017-03-26 	food		100	0
2017-03-28 	inh.	400		400
2017-03-28 	food		400	0
